UPOS	SPOS	EqlNumUPOS	EqlNumSPOS	gender1M2F	number1S2P	polarity1p2n3nu	Positive-Sentiment	Negative-Sentiment	Neutral-Sentiment	Morpho1P2S0N	complexword	compoundword	Reduplicatedword	Lema	Diac	Infinitive	UnigramProb	Token
NUM	صفت عددي	12		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	ٻه
NOUN	اسم	1		1	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	مزور
NOUN	اسم	1		2	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	آرسي
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
NOUN	اسم	1		1	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	ڪٻٽ
ADJ	صفت	5		0	1	1	1	0	0	1	0	0	0	1	0	0	0.0007	مٿي
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0036	تي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0004	کنيو
VERB	فعل	4	4	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0007	وڃن
VERB	فعل	4	4	0	2	3	0	0	3	1	0	0	0	0	0	0	0.0064	ٿا
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1		0	2	3	0	0	3	2	1	0	0	0	0	0	0.0005	ٻارن
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
ADJ	صفت	5		0	1	1	1	0	0	2	1	0	0	1	0	0	0.0014	سٺي
NOUN	اسم	1		2	1	1	1	0	0	1	0	0	0	1	0	0	0.0004	تربيت
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0004	ڏيو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1		1	1	3	0	0	3	1	0	0	0	1	0	0	0.0017	ٻار
NOUN	اسم	1		1	1	3	0	0	3	1	0	0	0	1	0	0	0.0013	ميدان
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
NOUN	اسم	1		0	1	1	1	0	0	2	0	0	1	1	0	0	0.0005	راندروند
VERB	فعل	4	4	0	2	1	1	0	0	1	0	0	0	0	0	0	0.0026	ڪن
VERB	فعل	4	4	0	2	3	0	0	3	1	0	0	0	0	0	0	0.0064	ٿا
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1		1	1	3	0	0	3	1	0	0	0	1	0	0	0.0017	ٻار
ADJ	صفت	5		0	1	1	1	0	0	1	0	0	0	1	0	0	0.0004	معصوم
VERB	فعل	4	4	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0007	ٿيندا
AUX	فعل معاون	8		0	2	3	0	0	3	2	0	1	0	0	0	0	0.0052	آهن
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1		1	1	3	0	0	3	1	0	0	0	1	0	0	0.0017	ٻار
NOUN	اسم	1		1	1	3	0	0	3	1	0	0	0	1	0	0	0.0014	گھر
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
NOUN	اسم	1		2	1	1	1	0	0	1	0	0	0	1	0	0	0.0011	جنت
VERB	فعل	4	4	0	2	1	1	0	0	2	0	1	0	0	0	0	0.0004	بڻائيندا
AUX	فعل معاون	8		0	2	3	0	0	3	2	0	1	0	0	0	0	0.0052	آهن
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NUM	صفت عددي	12		0	1	3	0	0	3	2	1	0	0	0	0	0	0.001	ٻئي
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
NOUN	اسم	1		2	1	1	1	0	0	1	0	0	0	1	0	0	0.0027	عزت
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0024	ڏيڻ
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0134	سان
PRON	ضمير	2	2	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0035	پاڻ
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
NOUN	اسم	1		2	1	1	1	0	0	1	0	0	0	1	0	0	0.0027	عزت
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0026	ملي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0115	ٿي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NUM	صفت عددي	12		0	1	3	0	0	3	2	1	0	0	0	0	0	0.001	ٻئي
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
NOUN	اسم	1		2	1	1	1	0	0	1	0	0	0	1	0	0	0.001	مدد
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0097	ڪرڻ
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0134	سان
PRON	ضمير	2	2	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0035	پاڻ
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0086	به
NOUN	اسم	1		2	1	1	1	0	0	2	1	0	0	1	0	0	0.0008	ڪاميابي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0026	ملي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0115	ٿي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADJ	صفت	5		0	1	1	1	0	0	1	0	0	0	1	0	0	0.0032	بهتر
NOUN	اسم	1		2	1	1	1	0	0	1	0	0	0	1	0	0	0.001	صحت
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	1	0	0.0032	لاءِ
NOUN	اسم	1		1	1	1	1	0	0	2	1	0	0	1	0	0	0.0019	پاڻي
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
ADJ	صفت	5		0	1	1	1	0	0	1	0	0	0	1	0	0	0.0026	گھڻو
NOUN	اسم	1		0	1	3	0	0	3	1	0	0	0	1	0	0	0.001	استعمال
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0097	ڪرڻ
AUX	فعل معاون	8		0	1	3	0	0	3	2	0	1	0	1	0	0	0.0073	گھرجي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1		1	1	3	0	0	3	2	1	0	0	1	0	0	0.0004	بريصغير
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
NOUN	اسم	1		2	1	3	0	0	3	1	0	0	0	1	0	0	0.0014	عورت
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0036	تي
NOUN	اسم	1		2	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	حد
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0059	کان
ADJ	صفت	5		0	1	1	1	0	0	2	1	0	0	1	0	0	0.0013	وڌيڪ
NOUN	اسم	1		1	1	2	0	2	0	1	0	0	0	1	0	0	0.0007	ظلم
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0029	ٿئي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.002	پيو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	2	3	0	0	3	2	1	0	0	1	0	0	0.0011	اوهان
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
X	نامعلوم	18	18	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	او
ADJ	صفت	5		0	1	1	1	0	0	2	1	0	0	1	0	0	0.0013	سائين
NOUN	اسم	1		0	1	2	0	2	0	2	1	0	0	0	0	0	0.0008	وساري
ADV	ظرف	7		0	1	2	0	2	0	1	0	0	0	1	0	0	0.0097	نه
AUX	فعل معاون	8		0	1	3	0	0	3	2	1	0	0	1	0	0	0.0005	سگھبو
PRON	ضمير	2	2	0	2	3	0	0	3	2	1	0	0	1	0	0	0.0011	اوهان
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0134	سان
NOUN	اسم	1		2	1	1	1	0	0	1	0	0	0	1	0	0	0.002	دل
ADP	حرفِ جر	6		0	2	3	0	0	3	1	0	0	0	0	0	0	0.0039	جا
NOUN	اسم	1		0	2	1	1	0	0	2	1	0	0	0	0	0	0.0002	رشتا
AUX	فعل معاون	8		0	2	3	0	0	3	2	0	1	0	0	0	0	0.0052	آهن
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADJ	صفت	5		0	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	اول
PROPN	اسم خاص	3	3	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0004	الله
ADJ	صفت	5		0	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	عليم
ADJ	صفت	5		0	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	اعليٰ
NOUN	اسم	1		1	1	3	0	0	3	1	0	0	0	1	0	0	0.0005	عالم
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
PROPN	اسم خاص	3	3	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0011	ڌڻي
PUNC	بيهڪ جي نشاني	17	17	0	0	3	0	0	3	0	0	0	0	0	0	0	0.0058	،
PROPN	اسم خاص	3	3	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	قادر
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0048	پنهنجي
NOUN	اسم	1		2	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	قدرت
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	سين
NOUN	اسم	1		1	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	قائم
AUX	فعل معاون	8		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	آه
ADJ	صفت	5		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0005	قديم
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
DET	ضمير اشارو			0	2	3	0	0	3	2	0	1	0	0	0	0	0.0008	انهن
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0004	ٻڌايو
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0105	ته
DET	ضمير اشارو			0	1	3	0	0	3	2	1	0	0	1	1	0	0.002	هوءَ
ADV	ظرف	7		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0049	تمام
ADJ	صفت	5		0	1	1	1	0	0	1	0	0	0	1	0	0	0.0024	گھڻي
ADJ	صفت	5		0	1	1	1	0	0	1	0	0	0	1	0	0	0.0032	خوش
AUX	فعل معاون	8		0	1	3	0	0	3	2	1	0	0	1	0	0	0.0007	هئي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1		1	1	3	0	0	3	2	0	1	0	1	0	0	0.0057	انسان
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
NOUN	اسم	1		0	2	2	0	2	0	2	1	0	0	1	0	0	0.0002	ڏکن
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
NOUN	اسم	1		2	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	برداشت
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0097	ڪرڻ
ADP	حرفِ جر	6		0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
NOUN	اسم	1		2	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	صلاحيت
VERB	فعل	4	4	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0005	هوندي
AUX	فعل معاون	8		0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1		1	1	1	1	0	0	1	0	0	0	1	0	0	0.0007	انب
VERB	فعل	4	4	0	1	1	1	0	0	2	0	1	0	1	0	0	0.0005	کائجي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.013	ٿو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0004	امن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0134	سان
X	نامعلوم	18	18	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0064	ئي
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.001	ترقي
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0029	ٿئي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0115	ٿي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	2	0	1	0	1	0	0	0.0005	امرجليل
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0004	وڏو
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	اديب
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	2	0	1	0	1	0	0	0.0005	امرجليل
PROPN	اسم خاص	3	3	2	1	3	0	0	3	2	1	0	0	1	0	0	0.0038	سنڌي
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0005	ڪهاڻي
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0013	وڌيڪ
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0039	سٺو
VERB	فعل	4	4	0	1	1	1	0	0	2	1	0	0	0	0	0	0.0005	بڻايو
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADV	ظرف	7	7	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0002	اڳي
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0011	مرد
NOUN	اسم	1	1	2	1	3	0	0	3	2	0	1	0	1	0	0	0.0002	کيتي
VERB	فعل	4	4	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0002	ڪندا
AUX	فعل معاون	8	8	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0002	هئا
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	۽
NOUN	اسم	1	1	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0002	زالون
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0014	گھر
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.003	ڪم
VERB	فعل	4	4	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0002	ڪنديون
VERB	فعل	4	4	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0005	هيون
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
CONJ	حرف جملو	9	9	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	اگر
ADJ	صفت	5	5	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0032	خوش
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	1	0.0016	رهڻ
VERB	فعل	4	4	0	2	1	1	0	0	2	1	0	0	1	0	0	0.0002	چاهيو
VERB	فعل	4	4	0	2	3	0	0	3	1	0	0	0	0	0	0	0.0064	ٿا
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0105	ته
NOUN	اسم	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0002	معاف
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0097	ڪرڻ
VERB	فعل	4	4	0	2	1	1	0	0	2	1	0	0	0	0	0	0.0006	سکو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	اڪبر
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	بادشاھ
PROPN	اسم خاص	3	3	2	1	3	0	0	3	1	0	0	0	1	1	0	0.0058	سنڌ
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
VERB	فعل	4	4	0	1	1	1	0	0	2	1	0	0	1	0	0	0.0002	ڄائو
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0017	هو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0011	اصل
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0021	عبادت
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0105	ته
NOUN	اسم	1	1	1	1	3	0	0	3	2	0	1	0	1	0	0	0.0057	انسان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
ADJ	صفت	5	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0.0032	خوش
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0097	ڪرڻ
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0002	اسين
ADV	ظرف	7	7	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0005	بس
VERB	فعل	4	4	0	2	3	0	0	3	2	0	1	0	0	0	0	0.0002	رهياسين
NOUN	اسم	1	1	0	2	2	0	2	0	2	0	0	1	0	0	0	0.0002	اڌوراڌورا
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	اسلم
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0007	لنڊن
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0004	وڃڻو
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	اسلم
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0016	گوپال
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
NOUN	اسم	1	1	0	1	1	1	0	0	2	0	1	0	1	0	0	0.0004	خوش
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.001	چوي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.013	ٿو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	اسلم
PROPN	اسم خاص	3	3	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	گھوڙي
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
NOUN	اسم	1	1	1	1	1	1	0	0	2	1	0	0	1	0	0	0.0019	پاڻي
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	0	0	0	0.0005	پياري
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.013	ٿو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	اسلم
ADJ	صفت	5	5	0	1	2	0	2	0	2	1	0	0	1	0	0	0.0002	ڪوسي
NOUN	اسم	1	1	2	1	3	0	0	3	1	0	0	0	1	0	0	0.0002	ماني
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0007	کائي
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	1	0	0	0.013	ٿو
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PROPN	اسم خاص	3	3	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0027	اسلم
ADJ	صفت	5	5	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0005	بلدياتي
NOUN	اسم	1	1	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0005	چونڊون
VERB	فعل	4	4	0	2	1	1	0	0	2	1	0	0	0	0	0	0.0004	کٽيون
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0064	اسان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0004	سهپ
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
NOUN	اسم	1	1	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0004	مادو
ADJ	صفت	5	5	0	1	2	0	2	0	1	0	0	0	1	0	0	0.0002	گھٽ
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0064	اسان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0026	تعليم
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.0013	ميدان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
ADJ	صفت	5	5	0	1	1	1	0	0	2	0	1	0	1	0	0	0.0008	اڳتي
VERB	فعل	4	4	0	1	1	1	0	0	2	1	0	0	1	0	1	0.0007	وڌڻ
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	1	0	0	1	0	0	0.0007	کپي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0064	اسان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0048	پنهنجي
ADJ	صفت	5	5	0	2	1	1	0	0	2	1	0	0	0	0	0	0.0008	وڏن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0187	جو
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0007	احترام
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0097	ڪرڻ
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0073	گھرجي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0064	اسان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
PRON	ضمير	2	2	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0048	پنهنجي
PROPN	اسم خاص	3	3	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0005	رب
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0021	عبادت
VERB	فعل	4	4	0	1	3	0	0	3	1	0	0	0	0	0	1	0.0097	ڪرڻ
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0073	گھرجي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0064	اسان
ADJ	صفت	5	5	0	2	3	0	0	3	2	1	0	0	1	0	0	0.0016	سڀني
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
ADJ	صفت	5	5	0	1	3	0	0	3	2	1	0	0	0	0	0	0.0005	ديسي
NOUN	اسم	1	1	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0005	هنرن
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0276	کي
NOUN	اسم	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0.0005	زور
VERB	فعل	4	4	0	1	3	0	0	3	2	1	0	0	1	0	1	0.0005	وٺائڻ
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.0073	گھرجي
PERIOD	پورو دم	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	.
PRON	ضمير	2	2	0	2	3	0	0	3	2	1	0	0	0	0	0	0.0064	اسان
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
ADJ	صفت	5	5	0	1	1	1	0	0	2	1	0	0	0	0	0	0.0008	تعليمي
NOUN	اسم	1	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0.001	نظام
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0175	۾
NOUN	اسم	1	1	2	1	1	1	0	0	2	1	0	0	0	0	0	0.0004	بهتري
ADP	حرفِ جر	6	6	0	1	3	0	0	3	1	0	0	0	1	0	0	0.0323	جي
NOUN	اسم	1	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0.0004	ضرورت
AUX	فعل معاون	8	8	0	1	3	0	0	3	2	0	1	0	1	0	0	0.384	آهي
